2.58 & 0.00 & 0.12 & 0.10 & 4.00 & 3.173 & 475971.367 & 0.110 & 7973.819 \\
3.00 & 0.80 & 0.0002 & 0.50 & 8.00 & 1.581 & 0.715 & 0.491 & 0.009 \\
3.00 & 0.80 & 0.003 & 0.10 & 8.00 & 0.607 & 1.169 & 0.104 & 0.209 \\
3.00 & 0.80 & 0.0016 & 0.50 & 8.00 & 2.944 & 2.027 & 0.386 & 0.113 \\
3.00 & 0.80 & 0.02 & 0.10 & 8.00 & 2.413 & 3.284 & 0.116 & 0.250 \\
3.00 & 0.80 & 0.02 & 0.50 & 8.00 & 1.747 & 2.325 & 0.272 & 0.254 \\
3.90 & 0.64 & 0.289 & 0.34 & 6.56 & 15.889 & 2009883.842 & 0.201 & 19882.022 \\
5.00 & 0.90 & 0.42 & 0.10 & 4.00 & 1.593 & 2.006 & 0.156 & 0.365 \\
5.25 & 0.61 & 0.183 & 0.39 & 7.57 & 4.062 & 508.383 & 0.260 & 7.985 \\
5.59 & 0.61 & 0.231 & 0.37 & 6.96 & 13.322 & 20.603 & 0.212 & 0.319 \\
5.68 & 0.84 & 0.196 & 0.44 & 4.65 & 1.230 & 2.229 & 0.281 & 0.230 \\
5.96 & 0.79 & 0.131 & 0.27 & 6.73 & 6.136 & 2128790.119 & 0.245 & 25449.839 \\
6.00 & 0.75 & 0.143 & 0.15 & 8.00 & 1.658 & 2.246 & 0.200 & 0.228 \\
6.25 & 0.82 & 0.199 & 0.31 & 4.29 & 5.344 & 4491856.780 & 0.286 & 61183.873 \\
6.37 & 0.78 & 0.133 & 0.48 & 6.02 & 190.484 & 5127576.200 & 0.038 & 9253.706 \\
7.00 & 0.90 & 0.25 & 0.10 & 4.00 & 1.729 & 2.049 & 0.190 & 0.328 \\
8.13 & 0.71 & 0.044 & 0.35 & 5.07 & 375.327 & 4184.068 & 0.098 & 2.997 \\
8.33 & 0.66 & 0.057 & 0.43 & 7.43 & 13.913 & 11.617 & 0.286 & 0.186 \\
8.48 & 0.77 & 0.114 & 0.34 & 6.27 & 0.000 & 41627741.241 & 0.419 & 0.021 \\
8.90 & 0.62 & 0.015 & 0.46 & 5.42 & 2.163 & 14.139 & 0.447 & 0.104 \\
9.08 & 0.77 & 0.072 & 0.33 & 6.40 & 9.912 & 1248500.019 & 0.268 & 6548.271 \\
9.38 & 0.79 & 0.064 & 0.41 & 5.22 & 3.133 & 12.459 & 0.342 & 0.164 \\
9.68 & 0.74 & 0.109 & 0.42 & 5.66 & 7.519 & 11.637 & 0.332 & 0.134 \\
9.85 & 0.68 & 0.098 & 0.49 & 4.05 & 1.202 & 1.622 & 0.385 & 0.115 \\
10.00 & 0.80 & 0.082 & 0.20 & 8.00 & 2.030 & 3.117 & 0.171 & 0.242 \\
2.58 & 0.00 & 0.12 & 0.10 & 4.00 & 2.641 & 452.624 & 0.115 & 8.584 \\
3.00 & 0.80 & 0.0002 & 0.50 & 8.00 & 1.733 & 0.847 & 0.491 & 0.009 \\
3.00 & 0.80 & 0.003 & 0.10 & 8.00 & 0.599 & 0.942 & 0.109 & 0.214 \\
3.00 & 0.80 & 0.0016 & 0.50 & 8.00 & 3.387 & 2.007 & 0.378 & 0.119 \\
3.00 & 0.80 & 0.02 & 0.10 & 8.00 & 2.310 & 3.176 & 0.119 & 0.246 \\
3.00 & 0.80 & 0.02 & 0.50 & 8.00 & 1.476 & 1.551 & 0.273 & 0.229 \\
3.90 & 0.64 & 0.289 & 0.34 & 6.56 & 15.061 & 46204776.951 & 0.206 & 462540.451 \\
5.00 & 0.90 & 0.42 & 0.10 & 4.00 & 1.599 & 1.951 & 0.156 & 0.362 \\
5.25 & 0.61 & 0.183 & 0.39 & 7.57 & 4.429 & 222555.722 & 0.261 & 3108.724 \\
5.59 & 0.61 & 0.231 & 0.37 & 6.96 & 9.642 & 12.491 & 0.227 & 0.254 \\
5.68 & 0.84 & 0.196 & 0.44 & 4.65 & 3.017 & 6202.667 & 0.282 & 155.515 \\
5.96 & 0.79 & 0.131 & 0.27 & 6.73 & 6.065 & 2545266.774 & 0.247 & 29697.123 \\
6.00 & 0.75 & 0.143 & 0.15 & 8.00 & 1.624 & 2.131 & 0.201 & 0.223 \\
6.25 & 0.82 & 0.199 & 0.31 & 4.29 & 5.189 & 2930.371 & 0.287 & 40.317 \\
6.37 & 0.78 & 0.133 & 0.48 & 6.02 & 80.483 & 5713876.325 & 0.157 & 15991.346 \\
7.00 & 0.90 & 0.25 & 0.10 & 4.00 & 1.615 & 1.888 & 0.194 & 0.319 \\
8.13 & 0.71 & 0.044 & 0.35 & 5.07 & 13.529 & 32.212 & 0.290 & 0.183 \\
8.33 & 0.66 & 0.057 & 0.43 & 7.43 & 2.253 & 3.172 & 0.332 & 0.137 \\
8.48 & 0.77 & 0.114 & 0.34 & 6.27 & 17.869 & 2993002.080 & 0.249 & 13072.027 \\
8.90 & 0.62 & 0.015 & 0.46 & 5.42 & 2.331 & 20.547 & 0.447 & 0.137 \\
9.08 & 0.77 & 0.072 & 0.33 & 6.40 & 9.748 & 2599068.018 & 0.271 & 13264.387 \\
9.38 & 0.79 & 0.064 & 0.41 & 5.22 & 2.929 & 10.687 & 0.344 & 0.145 \\
9.68 & 0.74 & 0.109 & 0.42 & 5.66 & 7.651 & 10.715 & 0.332 & 0.128 \\
9.85 & 0.68 & 0.098 & 0.49 & 4.05 & 0.357 & 0.353 & 0.385 & 0.110 \\
10.00 & 0.80 & 0.082 & 0.20 & 8.00 & 0.498 & 0.774 & 0.170 & 0.240 \\
2.58 & 0.00 & 0.12 & 0.10 & 4.00 & 2.359 & 50.312 & 0.116 & 1.063 \\
3.00 & 0.80 & 0.0002 & 0.50 & 8.00 & 1.572 & 0.704 & 0.491 & 0.009 \\
3.00 & 0.80 & 0.003 & 0.10 & 8.00 & 1.064 & 1.919 & 0.111 & 0.203 \\
3.00 & 0.80 & 0.0016 & 0.50 & 8.00 & 3.121 & 1.809 & 0.381 & 0.115 \\
3.00 & 0.80 & 0.02 & 0.10 & 8.00 & 2.268 & 3.318 & 0.121 & 0.246 \\
3.00 & 0.80 & 0.02 & 0.50 & 8.00 & 0.846 & 0.847 & 0.271 & 0.229 \\
