2.58 & 0.00 & 0.12 & 0.10 & 4.00 & 2.951 & 44.703 \\
3.00 & 0.80 & 0.0002 & 0.50 & 8.00 & 1.395 & 21.984 \\
3.00 & 0.80 & 0.003 & 0.10 & 8.00 & 3.623 & 57.907 \\
3.00 & 0.80 & 0.0016 & 0.50 & 8.00 & 2.166 & 31.031 \\
3.00 & 0.80 & 0.02 & 0.10 & 8.00 & 3.726 & 55.438 \\
3.00 & 0.80 & 0.02 & 0.50 & 8.00 & 2.902 & 43.746 \\
3.90 & 0.64 & 0.289 & 0.34 & 6.56 & 2.492 & 24.617 \\
5.00 & 0.90 & 0.42 & 0.10 & 4.00 & 0.482 & 5.475 \\
5.25 & 0.61 & 0.183 & 0.39 & 7.57 & 2.702 & 39.125 \\
5.59 & 0.61 & 0.231 & 0.37 & 6.96 & 2.385 & 34.671 \\
5.68 & 0.84 & 0.196 & 0.44 & 4.65 & 2.304 & 28.080 \\
5.96 & 0.79 & 0.131 & 0.27 & 6.73 & 3.062 & 42.175 \\
6.00 & 0.75 & 0.143 & 0.15 & 8.00 & 3.278 & 46.513 \\
6.25 & 0.82 & 0.199 & 0.31 & 4.29 & 2.063 & 26.541 \\
6.37 & 0.78 & 0.133 & 0.48 & 6.02 & 1.798 & 22.203 \\
7.00 & 0.90 & 0.25 & 0.10 & 4.00 & 2.359 & 28.357 \\
8.13 & 0.71 & 0.044 & 0.35 & 5.07 & 2.157 & 28.715 \\
8.33 & 0.66 & 0.057 & 0.43 & 7.43 & 1.963 & 34.534 \\
8.48 & 0.77 & 0.114 & 0.34 & 6.27 & 2.571 & 36.878 \\
8.90 & 0.62 & 0.015 & 0.46 & 5.42 & 1.943 & 28.891 \\
9.08 & 0.77 & 0.072 & 0.33 & 6.40 & 2.326 & 31.624 \\
9.38 & 0.79 & 0.064 & 0.41 & 5.22 & 1.896 & 28.218 \\
9.68 & 0.74 & 0.109 & 0.42 & 5.66 & 1.718 & 21.152 \\
9.85 & 0.68 & 0.098 & 0.49 & 4.05 & 1.589 & 21.494 \\
10.00 & 0.80 & 0.082 & 0.20 & 8.00 & 4.034 & 45.485 \\
